seed,model,hierarchy,f1-macro,accuracy
42,GCN,flat,0.4178790165189324,0.5976
42,EGCN,flat,0.4193257928321936,0.5793
43,EGCN,flat,0.4309000400855259,0.5903
44,EGCN,flat,0.4260254239949343,0.5864
43,GCN,flat,0.4286546537467595,0.5974
44,GCN,flat,0.4265040821923201,0.6017
42,GCN,per-level,0.4128317059263883,0.5967
43,GCN,per-level,0.4216486496663658,0.6017
44,GCN,per-level,0.4157141388149249,0.5938
42,EGCN,per-level,0.417226013681658,0.5814
43,EGCN,per-level,0.4115795186015415,0.5784
44,EGCN,per-level,0.4149263670999643,0.5832
42,GCN,per-label,0.5253016185727405,0.7177
43,GCN,per-label,0.5304117400082542,0.7184
44,GCN,per-label,0.5255002644907538,0.7164
